variable,group,value
"Abbott, Diane",Home Office,24
"Abbott, Diane",Prime Minister,6
"Abrahams, Debbie",BEIS,2
"Abrahams, Debbie",DfE,4
"Abrahams, Debbie",DHSC,5
"Abrahams, Debbie",DWP,14
"Abrahams, Debbie",FCO,7
"Abrahams, Debbie",Home Office,5
"Abrahams, Debbie",Minister for Women and Equalities,2
"Abrahams, Debbie",Ministry of Justice,5
"Abrahams, Debbie",Prime Minister,2
"Abrahams, Debbie",Treasury,7
"Abrahams, Debbie",Wales Office,1
"Adams, Nigel",Prime Minister,2
"Afolami, Bim",Attorney General,1
"Afolami, Bim",BEIS,4
"Afolami, Bim",Cabinet Office,4
"Afolami, Bim",DDCMS,4
"Afolami, Bim",DEFRA,2
"Afolami, Bim",Department for Transport,4
"Afolami, Bim",Department of Health,1
"Afolami, Bim",DfE,4
"Afolami, Bim",DHSC,9
"Afolami, Bim",FCO,8
"Afolami, Bim",Home Office,2
"Afolami, Bim",MHCLG,3
"Afolami, Bim",Ministry of Justice,1
"Afolami, Bim",Prime Minister,8
"Afolami, Bim",Treasury,6
"Afriyie, Adam",BEIS,6
"Afriyie, Adam",DDCMS,2
"Afriyie, Adam",Department for Transport,4
"Afriyie, Adam",DfE,4
"Afriyie, Adam",DfID,2
"Afriyie, Adam",DHSC,2
"Afriyie, Adam",DWP,2
"Afriyie, Adam",FCO,1
"Afriyie, Adam",Prime Minister,1
"Afriyie, Adam",Treasury,2
"Aldous, Peter",Attorney General,2
"Aldous, Peter",BEIS,15
"Aldous, Peter",DCLG,1
"Aldous, Peter",DDCMS,4
"Aldous, Peter",DEFRA,9
"Aldous, Peter",Department for Transport,3
"Aldous, Peter",Department of Health,2
"Aldous, Peter",DeXEU,9
"Aldous, Peter",DfE,5
"Aldous, Peter",DHSC,2
"Aldous, Peter",DIT,2
"Aldous, Peter",DWP,2
"Aldous, Peter",FCO,5
"Aldous, Peter",Home Office,3
"Aldous, Peter",MHCLG,10
"Aldous, Peter",Minister for Women and Equalities,4
"Aldous, Peter",Ministry of Defence,4
"Aldous, Peter",Ministry of Justice,4
"Aldous, Peter",Prime Minister,7
"Aldous, Peter",Treasury,8
"Aldous, Peter",Wales Office,2
"Alexander, Heidi",Department for Transport,2
"Alexander, Heidi",Department of Health,2
"Alexander, Heidi",DeXEU,2
"Alexander, Heidi",DfE,4
"Alexander, Heidi",DIT,1
"Alexander, Heidi",Prime Minister,6
"Alexander, Heidi",Treasury,1
"Ali, Rushanara",DfE,4
"Ali, Rushanara",DfID,4
"Ali, Rushanara",FCO,5
"Ali, Rushanara",Home Office,6
"Ali, Rushanara",Treasury,8
"Allan, Lucy",Attorney General,2
